"FIPSCode","YEAR","TEMPERATURE_MA","TEMPERATURE_INDEX"
8081,2016,66.1,"Hotter"
6013,2016,71.4,"Hotter"
6025,2016,90.9,"Hotter"
6027,2016,81.2,"Hotter"
6053,2016,68.9,"Hotter"
8007,2016,63.4,"Hotter"
8019,2016,56.6,"Hotter"
8057,2016,56.4,"Hotter"
8077,2016,69.4,"Hotter"
8117,2016,54.9,"Hotter"
6043,2016,70.6,"Hotter"
6047,2016,77.1,"Hotter"
6079,2016,71.8,"Hotter"
6099,2016,75.7,"Hotter"
8047,2016,58.1,"Hotter"
8049,2016,57,"Hotter"
8051,2016,58.2,"Hotter"
8083,2016,70.2,"Hotter"
8109,2016,59.2,"Hotter"
13025,2016,81.7,"Hotter"
13315,2016,56.2,"Hotter"
6017,2015,69.7,"Hotter"
6065,2015,83.9,"Hotter"
6007,2015,76.6,"Hotter"
6009,2015,74.3,"Hotter"
6039,2015,72.8,"Hotter"
6051,2015,60.9,"Hotter"
6013,2015,71.3,"Hotter"
6031,2015,80.7,"Hotter"
6047,2015,77.2,"Hotter"
6067,2015,77.1,"Hotter"
6023,2015,66,"Hotter"
6035,2015,65.8,"Hotter"
6037,2015,73.9,"Hotter"
6019,2015,71.8,"Hotter"
6049,2015,66.2,"Hotter"
6053,2015,68.9,"Hotter"
